X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
35.361508	7.514276	0.045481	36.151108	11.996830	89.927917	-26.363237	-26.408260	-18.498955
34.353401	7.087439	-0.128257	35.077121	11.657121	90.209498	-26.378305	-26.432737	-18.498291
33.458975	7.098164	-0.177589	34.204071	11.977452	90.297484	-26.395094	-26.455654	-18.498755
32.620317	6.827906	0.373652	33.329341	11.822157	89.357650	-26.414957	-26.487278	-18.498674
30.754248	6.489010	-0.156140	31.431757	11.914401	90.284624	-26.447044	-26.537939	-18.498829
30.014255	6.396779	-0.108952	30.688534	12.031142	90.203416	-26.463430	-26.564238	-18.498713
29.034032	6.102927	-0.205473	29.669226	11.870704	90.396803	-26.481134	-26.594746	-18.498697
28.133171	6.135101	0.084089	28.794476	12.302095	89.832677	-26.516680	-26.646152	-18.498745
27.191557	5.761887	-0.005997	27.795326	11.963995	90.012362	-26.537275	-26.682772	-18.498663
26.213480	5.510933	0.006873	26.786507	11.872553	89.985300	-26.563732	-26.737234	-18.499550
25.183924	5.369369	-0.001707	25.749955	12.035608	90.003798	-26.592775	-26.789953	-18.499449
24.004226	4.968271	-0.113242	24.513249	11.693672	90.264686	-26.628086	-26.858892	-18.500145
23.631012	4.768795	0.058350	24.107458	11.409196	89.861320	-26.638775	-26.897358	-18.500006
22.513515	4.760215	-0.138981	23.011678	11.938674	90.346045	-26.672514	-26.956093	-18.500484
21.782102	4.704448	-0.130401	22.284721	12.187411	90.335274	-26.694164	-27.004557	-18.499949
20.690344	4.429900	0.051916	21.159326	12.084840	89.859421	-26.744982	-27.104618	-18.500341
19.418415	4.007353	-0.160430	19.828249	11.660364	90.463585	-26.761160	-27.176197	-18.500801
18.060688	4.146772	0.004728	18.530629	12.931110	89.985382	-26.802887	-27.301491	-18.500608
17.301391	3.998773	-0.091793	17.757724	13.013935	90.296174	-26.841825	-27.403728	-18.500443
16.166736	3.490430	-0.173300	16.540148	12.183268	90.600328	-26.818975	-27.446913	-18.500818
15.478221	3.271650	0.004728	15.820209	11.935004	89.982878	-26.825268	-27.551105	-18.501257
14.304957	2.979943	-0.108952	14.612450	11.767304	90.427209	-26.810509	-27.635221	-18.500683
13.174591	2.735423	-0.083214	13.455828	11.729591	90.354331	-26.809917	-27.778362	-18.500811
12.211527	2.653917	0.101248	12.496997	12.261355	89.535794	-26.740004	-27.848782	-18.500113
11.634547	2.366499	0.084089	11.873082	11.497275	89.594208	-26.658287	-27.813913	-18.499891
10.587833	2.306442	0.009017	10.836141	12.289260	89.952320	-26.496534	-27.688120	-18.499935
9.714856	2.106966	0.060495	9.940895	12.236840	89.651325	-26.279789	-27.395569	-18.499783
8.267044	1.753056	-0.130401	8.451877	11.972422	90.884034	-26.107946	-26.945625	-18.500282
7.559224	1.718737	-0.186169	7.754392	12.809541	91.375701	-26.101084	-26.477016	-18.501125
6.542538	1.356248	-0.053185	6.681845	11.711366	90.456056	-26.206703	-26.259462	-18.500120
